input,output,len_sequence,bins
U U I E O O I I U A I I U E I U A A A A,"UU,UI,IE,EO,OO,OI,II,IU,UA,AI,II,IU,UE,EI,IU,UA,AA,AA,AA",20,1~23
E E E O E U U U,"EE,EE,EO,OE,EU,UU,UU",8,1~23
U I E I E E A U O I U A O I O O E E,"UI,IE,EI,IE,EE,EA,AU,UO,OI,IU,UA,AO,OI,IO,OO,OE,EE",18,1~23
I U U I E A O U I A E E I O U,"IU,UU,UI,IE,EA,AO,OU,UI,IA,AE,EE,EI,IO,OU",15,1~23
E U I E E E O E E A A I A,"EU,UI,IE,EE,EE,EO,OE,EE,EA,AA,AI,IA",13,1~23
U O A A E A I E O I A E A,"UO,OA,AA,AE,EA,AI,IE,EO,OI,IA,AE,EA",13,1~23
A U O A I O U I U A E E A E E I U I A A,"AU,UO,OA,AI,IO,OU,UI,IU,UA,AE,EE,EA,AE,EE,EI,IU,UI,IA,AA",20,1~23
A E I I,"AE,EI,II",4,1~23
O E E A O I U U I O E A A U,"OE,EE,EA,AO,OI,IU,UU,UI,IO,OE,EA,AA,AU",14,1~23
E A I E A,"EA,AI,IE,EA",5,1~23
A U I E U I U O U I U U E A A O A U,"AU,UI,IE,EU,UI,IU,UO,OU,UI,IU,UU,UE,EA,AA,AO,OA,AU",18,1~23
E A I A A U A U O O E I A U I I O I I A O,"EA,AI,IA,AA,AU,UA,AU,UO,OO,OE,EI,IA,AU,UI,II,IO,OI,II,IA,AO",21,1~23
A I A E I E A I O O O O U,"AI,IA,AE,EI,IE,EA,AI,IO,OO,OO,OO,OU",13,1~23
O E E I U A,"OE,EE,EI,IU,UA",6,1~23
I E I U I O U E O I A E I I U I I O,"IE,EI,IU,UI,IO,OU,UE,EO,OI,IA,AE,EI,II,IU,UI,II,IO",18,1~23
E U A O I O,"EU,UA,AO,OI,IO",6,1~23
O E I I U A O O A I U I,"OE,EI,II,IU,UA,AO,OO,OA,AI,IU,UI",12,1~23
A O E E I U A U A I A E O U U O U,"AO,OE,EE,EI,IU,UA,AU,UA,AI,IA,AE,EO,OU,UU,UO,OU",17,1~23
E A E O O I I U U U E E E O,"EA,AE,EO,OO,OI,II,IU,UU,UU,UE,EE,EE,EO",14,1~23
I A U U I O I,"IA,AU,UU,UI,IO,OI",7,1~23
U A U I U,"UA,AU,UI,IU",5,1~23
E O A E I I O E U A A U O A E O U A O I A,"EO,OA,AE,EI,II,IO,OE,EU,UA,AA,AU,UO,OA,AE,EO,OU,UA,AO,OI,IA",21,1~23
A U I O U I I E U A I U U A E U I U O U O,"AU,UI,IO,OU,UI,II,IE,EU,UA,AI,IU,UU,UA,AE,EU,UI,IU,UO,OU,UO",21,1~23
I E U,"IE,EU",3,1~23
A E U A O I I O U E E,"AE,EU,UA,AO,OI,II,IO,OU,UE,EE",11,1~23
A O U I E,"AO,OU,UI,IE",5,1~23
U A E U U I O E A U O O O I A E U,"UA,AE,EU,UU,UI,IO,OE,EA,AU,UO,OO,OO,OI,IA,AE,EU",17,1~23
A U E O I E E U E A A U A E A U E A,"AU,UE,EO,OI,IE,EE,EU,UE,EA,AA,AU,UA,AE,EA,AU,UE,EA",18,1~23
I I I I O O O A E U A A U,"II,II,II,IO,OO,OO,OA,AE,EU,UA,AA,AU",13,1~23
U I U A I A O O,"UI,IU,UA,AI,IA,AO,OO",8,1~23
U A I U U U O O A I U A U U E,"UA,AI,IU,UU,UU,UO,OO,OA,AI,IU,UA,AU,UU,UE",15,1~23
O A I A A A,"OA,AI,IA,AA,AA",6,1~23
U I A E O U E A U U O E I I A A U I,"UI,IA,AE,EO,OU,UE,EA,AU,UU,UO,OE,EI,II,IA,AA,AU,UI",18,1~23
O I A O I I A A E E A O E U,"OI,IA,AO,OI,II,IA,AA,AE,EE,EA,AO,OE,EU",14,1~23
U A U A O O U U A O U A U E E,"UA,AU,UA,AO,OO,OU,UU,UA,AO,OU,UA,AU,UE,EE",15,1~23
I U O I A A O O A A O U U O,"IU,UO,OI,IA,AA,AO,OO,OA,AA,AO,OU,UU,UO",14,1~23
O O E I E O E O I U U I A E,"OO,OE,EI,IE,EO,OE,EO,OI,IU,UU,UI,IA,AE",14,1~23
I E U E A U U U I O A U U E U E,"IE,EU,UE,EA,AU,UU,UU,UI,IO,OA,AU,UU,UE,EU,UE",16,1~23
E O U O A A U I U U I,"EO,OU,UO,OA,AA,AU,UI,IU,UU,UI",11,1~23
U A E O A U A E,"UA,AE,EO,OA,AU,UA,AE",8,1~23
E A U I I E I O U O A I I E,"EA,AU,UI,II,IE,EI,IO,OU,UO,OA,AI,II,IE",14,1~23
I O A U O A U O A I U E E,"IO,OA,AU,UO,OA,AU,UO,OA,AI,IU,UE,EE",13,1~23
E I O O I I O O O O U A A I A O I,"EI,IO,OO,OI,II,IO,OO,OO,OO,OU,UA,AA,AI,IA,AO,OI",17,1~23
U U A A O I E U U E A A I U,"UU,UA,AA,AO,OI,IE,EU,UU,UE,EA,AA,AI,IU",14,1~23
I O A E I U O O I I E I O U O A I E,"IO,OA,AE,EI,IU,UO,OO,OI,II,IE,EI,IO,OU,UO,OA,AI,IE",18,1~23
U O I,"UO,OI",3,1~23
O E U E O I O E A A U A O,"OE,EU,UE,EO,OI,IO,OE,EA,AA,AU,UA,AO",13,1~23
O A E A A A A I E,"OA,AE,EA,AA,AA,AA,AI,IE",9,1~23
I E O I I O I O U I U I U E,"IE,EO,OI,II,IO,OI,IO,OU,UI,IU,UI,IU,UE",14,1~23
U A,UA,2,1~23
E E I I E E U E,"EE,EI,II,IE,EE,EU,UE",8,1~23
I U O A E O U I I E U A O A O E I E A O I U,"IU,UO,OA,AE,EO,OU,UI,II,IE,EU,UA,AO,OA,AO,OE,EI,IE,EA,AO,OI,IU",22,1~23
O U U A A E I A A O A E U O U I,"OU,UU,UA,AA,AE,EI,IA,AA,AO,OA,AE,EU,UO,OU,UI",16,1~23
E I O O E,"EI,IO,OO,OE",5,1~23
I I A O E E E E O U A I A O,"II,IA,AO,OE,EE,EE,EE,EO,OU,UA,AI,IA,AO",14,1~23
U I U E A E U I E I O,"UI,IU,UE,EA,AE,EU,UI,IE,EI,IO",11,1~23
O I A A U E E U I,"OI,IA,AA,AU,UE,EE,EU,UI",9,1~23
I O I E O A A O A E A U U,"IO,OI,IE,EO,OA,AA,AO,OA,AE,EA,AU,UU",13,1~23
I O A O A U U I A U E E U I A E O U U I A O,"IO,OA,AO,OA,AU,UU,UI,IA,AU,UE,EE,EU,UI,IA,AE,EO,OU,UU,UI,IA,AO",22,1~23
I O U A O E A O O U O,"IO,OU,UA,AO,OE,EA,AO,OO,OU,UO",11,1~23
O O A E U I I A O A E,"OO,OA,AE,EU,UI,II,IA,AO,OA,AE",11,1~23
O O A O A A U U,"OO,OA,AO,OA,AA,AU,UU",8,1~23
O I E U U I A I E I O A E E E O O E,"OI,IE,EU,UU,UI,IA,AI,IE,EI,IO,OA,AE,EE,EE,EO,OO,OE",18,1~23
O E I E I I O I O A,"OE,EI,IE,EI,II,IO,OI,IO,OA",10,1~23
A O A A E,"AO,OA,AA,AE",5,1~23
A E U O A,"AE,EU,UO,OA",5,1~23
A E A E O I E E I O,"AE,EA,AE,EO,OI,IE,EE,EI,IO",10,1~23
A U E O U O A E E U O O I,"AU,UE,EO,OU,UO,OA,AE,EE,EU,UO,OO,OI",13,1~23
I U I E I U I A E I O I U O U O U A U A,"IU,UI,IE,EI,IU,UI,IA,AE,EI,IO,OI,IU,UO,OU,UO,OU,UA,AU,UA",20,1~23
I O O I U U E E O E U,"IO,OO,OI,IU,UU,UE,EE,EO,OE,EU",11,1~23
E E U E A E E E O O E A O O A U I I E E,"EE,EU,UE,EA,AE,EE,EE,EO,OO,OE,EA,AO,OO,OA,AU,UI,II,IE,EE",20,1~23
A O I U E E,"AO,OI,IU,UE,EE",6,1~23
E I I U E U,"EI,II,IU,UE,EU",6,1~23
U A U I E O E O U U U O E E E,"UA,AU,UI,IE,EO,OE,EO,OU,UU,UU,UO,OE,EE,EE",15,1~23
U A O E U E O E A I O U A U U I E O U O U E,"UA,AO,OE,EU,UE,EO,OE,EA,AI,IO,OU,UA,AU,UU,UI,IE,EO,OU,UO,OU,UE",22,1~23
O O A A O I U I I I O O E U I A O A I O I E I O O A A E,"OO,OA,AA,AO,OI,IU,UI,II,II,IO,OO,OE,EU,UI,IA,AO,OA,AI,IO,OI,IE,EI,IO,OO,OA,AA,AE",28,23~45
I I O O O A U I U E E I I A I U A I O O U E E I A I O I,"II,IO,OO,OO,OA,AU,UI,IU,UE,EE,EI,II,IA,AI,IU,UA,AI,IO,OO,OU,UE,EE,EI,IA,AI,IO,OI",28,23~45
E A I U E O O I U E A A O U I U E U E A E O U A A A U O O E A U O A,"EA,AI,IU,UE,EO,OO,OI,IU,UE,EA,AA,AO,OU,UI,IU,UE,EU,UE,EA,AE,EO,OU,UA,AA,AA,AU,UO,OO,OE,EA,AU,UO,OA",34,23~45
E U E O A I A U O O O I A O I I E A E A A U A A I U U U E I A I I A O A U I O,"EU,UE,EO,OA,AI,IA,AU,UO,OO,OO,OI,IA,AO,OI,II,IE,EA,AE,EA,AA,AU,UA,AA,AI,IU,UU,UU,UE,EI,IA,AI,II,IA,AO,OA,AU,UI,IO",39,23~45
E U U E E I O I A A A I I A E E A U E I O E I E,"EU,UU,UE,EE,EI,IO,OI,IA,AA,AA,AI,II,IA,AE,EE,EA,AU,UE,EI,IO,OE,EI,IE",24,23~45
O U U I A I E A U O E I O I A U I U U E U I I U O I U,"OU,UU,UI,IA,AI,IE,EA,AU,UO,OE,EI,IO,OI,IA,AU,UI,IU,UU,UE,EU,UI,II,IU,UO,OI,IU",27,23~45
U U A U A I A E U A E O O O A U O E A A U I E U E A E O A A A E U I U U U A O I A U O O,"UU,UA,AU,UA,AI,IA,AE,EU,UA,AE,EO,OO,OO,OA,AU,UO,OE,EA,AA,AU,UI,IE,EU,UE,EA,AE,EO,OA,AA,AA,AE,EU,UI,IU,UU,UU,UA,AO,OI,IA,AU,UO,OO",44,23~45
E E A E O A I I E A I I O O A I E A A E U I U I I O E O I O I A E I,"EE,EA,AE,EO,OA,AI,II,IE,EA,AI,II,IO,OO,OA,AI,IE,EA,AA,AE,EU,UI,IU,UI,II,IO,OE,EO,OI,IO,OI,IA,AE,EI",34,23~45
O I U I I A U U A E A U A O U A O E A U I I O A O U O I A O E U E U I E,"OI,IU,UI,II,IA,AU,UU,UA,AE,EA,AU,UA,AO,OU,UA,AO,OE,EA,AU,UI,II,IO,OA,AO,OU,UO,OI,IA,AO,OE,EU,UE,EU,UI,IE",36,23~45
A A I E U O A E I I E A U O E E A U O I E I A U O O I O A A A U I E I E U I U U,"AA,AI,IE,EU,UO,OA,AE,EI,II,IE,EA,AU,UO,OE,EE,EA,AU,UO,OI,IE,EI,IA,AU,UO,OO,OI,IO,OA,AA,AA,AU,UI,IE,EI,IE,EU,UI,IU,UU",40,23~45
I A A I I U O E U E E O O U E E I U I O A U O O U I E I E I E A I I I A O E O E A,"IA,AA,AI,II,IU,UO,OE,EU,UE,EE,EO,OO,OU,UE,EE,EI,IU,UI,IO,OA,AU,UO,OO,OU,UI,IE,EI,IE,EI,IE,EA,AI,II,II,IA,AO,OE,EO,OE,EA",41,23~45
I U I I O O E E E A O A A I O A I A U A I U A I O A E O I E E E,"IU,UI,II,IO,OO,OE,EE,EE,EA,AO,OA,AA,AI,IO,OA,AI,IA,AU,UA,AI,IU,UA,AI,IO,OA,AE,EO,OI,IE,EE,EE",32,23~45
I E I U U A A I E U O E A I I O A E U E I U I A A E E I O A E O O U E I I E,"IE,EI,IU,UU,UA,AA,AI,IE,EU,UO,OE,EA,AI,II,IO,OA,AE,EU,UE,EI,IU,UI,IA,AA,AE,EE,EI,IO,OA,AE,EO,OO,OU,UE,EI,II,IE",38,23~45
A O I E E A O U U I I I A I E E U U E U O U U I O A U O I A E O O A,"AO,OI,IE,EE,EA,AO,OU,UU,UI,II,II,IA,AI,IE,EE,EU,UU,UE,EU,UO,OU,UU,UI,IO,OA,AU,UO,OI,IA,AE,EO,OO,OA",34,23~45
E O E E I E A U U E E I O A A I A A A O U A E O E I O I E U A E U O U A I I A E U U U,"EO,OE,EE,EI,IE,EA,AU,UU,UE,EE,EI,IO,OA,AA,AI,IA,AA,AA,AO,OU,UA,AE,EO,OE,EI,IO,OI,IE,EU,UA,AE,EU,UO,OU,UA,AI,II,IA,AE,EU,UU,UU",43,23~45
I U O U A O E O A O I A O I I U A O E O E A E E,"IU,UO,OU,UA,AO,OE,EO,OA,AO,OI,IA,AO,OI,II,IU,UA,AO,OE,EO,OE,EA,AE,EE",24,23~45
O U E E U U A I A O I I I E E A U A I U A O E U A E I U U A E,"OU,UE,EE,EU,UU,UA,AI,IA,AO,OI,II,II,IE,EE,EA,AU,UA,AI,IU,UA,AO,OE,EU,UA,AE,EI,IU,UU,UA,AE",31,23~45
O O A A A I U U U O E I I A O O A U O I A U E U U A I E U U E I U E I U,"OO,OA,AA,AA,AI,IU,UU,UU,UO,OE,EI,II,IA,AO,OO,OA,AU,UO,OI,IA,AU,UE,EU,UU,UA,AI,IE,EU,UU,UE,EI,IU,UE,EI,IU",36,23~45
A O O A I U I I E A U I O A E A A A O U O O O A E O A U U U U U I O O E O E E,"AO,OO,OA,AI,IU,UI,II,IE,EA,AU,UI,IO,OA,AE,EA,AA,AA,AO,OU,UO,OO,OO,OA,AE,EO,OA,AU,UU,UU,UU,UU,UI,IO,OO,OE,EO,OE,EE",39,23~45
U I I I I O U E I E O O U I E O O O I E I I E O U A A A,"UI,II,II,II,IO,OU,UE,EI,IE,EO,OO,OU,UI,IE,EO,OO,OO,OI,IE,EI,II,IE,EO,OU,UA,AA,AA",28,23~45
E A U U E U U O O U A E O U U O A A A E I O U O A A E I U,"EA,AU,UU,UE,EU,UU,UO,OO,OU,UA,AE,EO,OU,UU,UO,OA,AA,AA,AE,EI,IO,OU,UO,OA,AA,AE,EI,IU",29,23~45
E O A E O O U E A I I A E U U I O A O O I A O E I U I A I U O I U U I O U O,"EO,OA,AE,EO,OO,OU,UE,EA,AI,II,IA,AE,EU,UU,UI,IO,OA,AO,OO,OI,IA,AO,OE,EI,IU,UI,IA,AI,IU,UO,OI,IU,UU,UI,IO,OU,UO",38,23~45
O A O O I O I E I E E I U U E E O O E U U I I A I I A U O,"OA,AO,OO,OI,IO,OI,IE,EI,IE,EE,EI,IU,UU,UE,EE,EO,OO,OE,EU,UU,UI,II,IA,AI,II,IA,AU,UO",29,23~45
O I E E U I I I U O U O A U U I U O E U U U E O A A A U U A U E U U O E E I E I,"OI,IE,EE,EU,UI,II,II,IU,UO,OU,UO,OA,AU,UU,UI,IU,UO,OE,EU,UU,UU,UE,EO,OA,AA,AA,AU,UU,UA,AU,UE,EU,UU,UO,OE,EE,EI,IE,EI",40,23~45
I U E U I O I A O I U U O I I U O A O E E U U O I I U U,"IU,UE,EU,UI,IO,OI,IA,AO,OI,IU,UU,UO,OI,II,IU,UO,OA,AO,OE,EE,EU,UU,UO,OI,II,IU,UU",28,23~45
I I O I E O A I I I E U I O U U U E E O U A I O A E E U O A A E,"II,IO,OI,IE,EO,OA,AI,II,II,IE,EU,UI,IO,OU,UU,UU,UE,EE,EO,OU,UA,AI,IO,OA,AE,EE,EU,UO,OA,AA,AE",32,23~45
I A O I O I I E E E A I O E A O O O E A U O O A I I A E U,"IA,AO,OI,IO,OI,II,IE,EE,EE,EA,AI,IO,OE,EA,AO,OO,OO,OE,EA,AU,UO,OO,OA,AI,II,IA,AE,EU",29,23~45
O E I U O O A O O I U E U E E I I A O O E O O U O U O O U U O,"OE,EI,IU,UO,OO,OA,AO,OO,OI,IU,UE,EU,UE,EE,EI,II,IA,AO,OO,OE,EO,OO,OU,UO,OU,UO,OO,OU,UU,UO",31,23~45
E U I I U E U I A E I A O O I O O O E O O E U U U A E O,"EU,UI,II,IU,UE,EU,UI,IA,AE,EI,IA,AO,OO,OI,IO,OO,OO,OE,EO,OO,OE,EU,UU,UU,UA,AE,EO",28,23~45
U I A E I U U U E O O U A I U O I O I A O U U E U A E U I A A U E O O A O U A O I,"UI,IA,AE,EI,IU,UU,UU,UE,EO,OO,OU,UA,AI,IU,UO,OI,IO,OI,IA,AO,OU,UU,UE,EU,UA,AE,EU,UI,IA,AA,AU,UE,EO,OO,OA,AO,OU,UA,AO,OI",41,23~45
O U A E I E A I O O A E I I E E I E O E A U I O E U E I O A E O O,"OU,UA,AE,EI,IE,EA,AI,IO,OO,OA,AE,EI,II,IE,EE,EI,IE,EO,OE,EA,AU,UI,IO,OE,EU,UE,EI,IO,OA,AE,EO,OO",33,23~45
I E O I E O U O U E E U U A E O I E O A U A I E O U U O,"IE,EO,OI,IE,EO,OU,UO,OU,UE,EE,EU,UU,UA,AE,EO,OI,IE,EO,OA,AU,UA,AI,IE,EO,OU,UU,UO",28,23~45
A U A E U A I O O E I O A E O O O U O O U A U I U O U E E A U U O A I U,"AU,UA,AE,EU,UA,AI,IO,OO,OE,EI,IO,OA,AE,EO,OO,OO,OU,UO,OO,OU,UA,AU,UI,IU,UO,OU,UE,EE,EA,AU,UU,UO,OA,AI,IU",36,23~45
E A E A A A I U O E A U I I I U A O I A U U U E E O E I U I I E I,"EA,AE,EA,AA,AA,AI,IU,UO,OE,EA,AU,UI,II,II,IU,UA,AO,OI,IA,AU,UU,UU,UE,EE,EO,OE,EI,IU,UI,II,IE,EI",33,23~45
E A I O E A I E O E O U I E O U U E U I E A U I I O A E U I U I I O A E A O E A I I O,"EA,AI,IO,OE,EA,AI,IE,EO,OE,EO,OU,UI,IE,EO,OU,UU,UE,EU,UI,IE,EA,AU,UI,II,IO,OA,AE,EU,UI,IU,UI,II,IO,OA,AE,EA,AO,OE,EA,AI,II,IO",43,23~45
A I A O I O A A O E I E E O A I O U O O O E A A E E E O O U E E E O I A E E A,"AI,IA,AO,OI,IO,OA,AA,AO,OE,EI,IE,EE,EO,OA,AI,IO,OU,UO,OO,OO,OE,EA,AA,AE,EE,EE,EO,OO,OU,UE,EE,EE,EO,OI,IA,AE,EE,EA",39,23~45
U O I E E A I O E O A A A I A E U U I O A I O U A A A E A O E E A,"UO,OI,IE,EE,EA,AI,IO,OE,EO,OA,AA,AA,AI,IA,AE,EU,UU,UI,IO,OA,AI,IO,OU,UA,AA,AA,AE,EA,AO,OE,EE,EA",33,23~45
E A U E E I I A E E U E O I O A U A O E A A I A O O U O E I U I A U O O E U O U I I U,"EA,AU,UE,EE,EI,II,IA,AE,EE,EU,UE,EO,OI,IO,OA,AU,UA,AO,OE,EA,AA,AI,IA,AO,OO,OU,UO,OE,EI,IU,UI,IA,AU,UO,OO,OE,EU,UO,OU,UI,II,IU",43,23~45
U I U E O A E O O E I U A A I U E E A U A U U E A E U E,"UI,IU,UE,EO,OA,AE,EO,OO,OE,EI,IU,UA,AA,AI,IU,UE,EE,EA,AU,UA,AU,UU,UE,EA,AE,EU,UE",28,23~45
A A U A I U E E A E I U O O O A I U A E O A U I U E U A E O A A I O O O U,"AA,AU,UA,AI,IU,UE,EE,EA,AE,EI,IU,UO,OO,OO,OA,AI,IU,UA,AE,EO,OA,AU,UI,IU,UE,EU,UA,AE,EO,OA,AA,AI,IO,OO,OO,OU",37,23~45
A I I A U E A I U A I O A E I E O E A U U E U A E I U I E A E U U A A U I I A U,"AI,II,IA,AU,UE,EA,AI,IU,UA,AI,IO,OA,AE,EI,IE,EO,OE,EA,AU,UU,UE,EU,UA,AE,EI,IU,UI,IE,EA,AE,EU,UU,UA,AA,AU,UI,II,IA,AU",40,23~45
A I O O A I U U A A O I A A I O A E E O I U A E A O A E U U O A U U A O U O A,"AI,IO,OO,OA,AI,IU,UU,UA,AA,AO,OI,IA,AA,AI,IO,OA,AE,EE,EO,OI,IU,UA,AE,EA,AO,OA,AE,EU,UU,UO,OA,AU,UU,UA,AO,OU,UO,OA",39,23~45
U E I U E O U E I O A I U U I A U E A I E O U U I U A U U I E,"UE,EI,IU,UE,EO,OU,UE,EI,IO,OA,AI,IU,UU,UI,IA,AU,UE,EA,AI,IE,EO,OU,UU,UI,IU,UA,AU,UU,UI,IE",31,23~45
I U A A A A E O U E E A O U O E A E A A U U O E U O U U O U I O O E E I A A A I,"IU,UA,AA,AA,AA,AE,EO,OU,UE,EE,EA,AO,OU,UO,OE,EA,AE,EA,AA,AU,UU,UO,OE,EU,UO,OU,UU,UO,OU,UI,IO,OO,OE,EE,EI,IA,AA,AA,AI",40,23~45
A O E I E I I I O E I U U A A I E U A O U E I E O O A E O E O A A U E E A O U U,"AO,OE,EI,IE,EI,II,II,IO,OE,EI,IU,UU,UA,AA,AI,IE,EU,UA,AO,OU,UE,EI,IE,EO,OO,OA,AE,EO,OE,EO,OA,AA,AU,UE,EE,EA,AO,OU,UU",40,23~45
A I O O A O E I E E O E O U U A E U U I I O O O A I U A O U U,"AI,IO,OO,OA,AO,OE,EI,IE,EE,EO,OE,EO,OU,UU,UA,AE,EU,UU,UI,II,IO,OO,OO,OA,AI,IU,UA,AO,OU,UU",31,23~45
U I U O A O O U A I E E I O I U E I I A I A U A E I U O E E A U A A E O I O I U E I A,"UI,IU,UO,OA,AO,OO,OU,UA,AI,IE,EE,EI,IO,OI,IU,UE,EI,II,IA,AI,IA,AU,UA,AE,EI,IU,UO,OE,EE,EA,AU,UA,AA,AE,EO,OI,IO,OI,IU,UE,EI,IA",43,23~45
E I A A U E O I U U E I U I U U E U E E E E A E O U O U O O O I E I E U E I E E O,"EI,IA,AA,AU,UE,EO,OI,IU,UU,UE,EI,IU,UI,IU,UU,UE,EU,UE,EE,EE,EE,EA,AE,EO,OU,UO,OU,UO,OO,OO,OI,IE,EI,IE,EU,UE,EI,IE,EE,EO",41,23~45
