input,output,len_sequence,bins
A U I E A I E E I A E E A E A U U O O I O O E U O U E E U A A O O E A U U I E A A A E A I A O E U E U O I A U E I I A E U I A A U E E A A I U A A A I O O,"AU,UI,IE,EA,AI,IE,EE,EI,IA,AE,EE,EA,AE,EA,AU,UU,UO,OO,OI,IO,OO,OE,EU,UO,OU,UE,EE,EU,UA,AA,AO,OO,OE,EA,AU,UU,UI,IE,EA,AA,AA,AE,EA,AI,IA,AO,OE,EU,UE,EU,UO,OI,IA,AU,UE,EI,II,IA,AE,EU,UI,IA,AA,AU,UE,EE,EA,AA,AI,IU,UA,AA,AA,AI,IO,OO",77,67~90
U I O U U I I E I E O A O E I O E I I E U A E U E E I U U O U O E A I E A I E O E I A O O O O O E E U I E O I I I O U E A E I A U I I U U U E A I I A E U O I E E I A E U U A,"UI,IO,OU,UU,UI,II,IE,EI,IE,EO,OA,AO,OE,EI,IO,OE,EI,II,IE,EU,UA,AE,EU,UE,EE,EI,IU,UU,UO,OU,UO,OE,EA,AI,IE,EA,AI,IE,EO,OE,EI,IA,AO,OO,OO,OO,OO,OE,EE,EU,UI,IE,EO,OI,II,II,IO,OU,UE,EA,AE,EI,IA,AU,UI,II,IU,UU,UU,UE,EA,AI,II,IA,AE,EU,UO,OI,IE,EE,EI,IA,AE,EU,UU,UA",87,67~90
O A I I I E O U I I I E A A A O U A I O A A U A O I U O I U U I E I U A U O E E I O O A U I A U I E O E I I A I E A O I I O O U O E U U O O I A A E,"OA,AI,II,II,IE,EO,OU,UI,II,II,IE,EA,AA,AA,AO,OU,UA,AI,IO,OA,AA,AU,UA,AO,OI,IU,UO,OI,IU,UU,UI,IE,EI,IU,UA,AU,UO,OE,EE,EI,IO,OO,OA,AU,UI,IA,AU,UI,IE,EO,OE,EI,II,IA,AI,IE,EA,AO,OI,II,IO,OO,OU,UO,OE,EU,UU,UO,OO,OI,IA,AA,AE",74,67~90
I E E I O I I A U E E E I A E I A A A A O I O O O A A I I E O U A O A O A O I O A O U O O A U I E A I U U U E E E U U U I O I E U U E A O U U I I A O U O U E U U U A O O U A E,"IE,EE,EI,IO,OI,II,IA,AU,UE,EE,EE,EI,IA,AE,EI,IA,AA,AA,AA,AO,OI,IO,OO,OO,OA,AA,AI,II,IE,EO,OU,UA,AO,OA,AO,OA,AO,OI,IO,OA,AO,OU,UO,OO,OA,AU,UI,IE,EA,AI,IU,UU,UU,UE,EE,EE,EU,UU,UU,UI,IO,OI,IE,EU,UU,UE,EA,AO,OU,UU,UI,II,IA,AO,OU,UO,OU,UE,EU,UU,UU,UA,AO,OO,OU,UA,AE",88,67~90
U O A O A U I A E U I I A A O A I U I I O I U U A U O A A O I U O I E I A I A E U I A A I A I A E A I O O I U I U E O E I A O I U E E U A A A O A E U E E A U U O I A,"UO,OA,AO,OA,AU,UI,IA,AE,EU,UI,II,IA,AA,AO,OA,AI,IU,UI,II,IO,OI,IU,UU,UA,AU,UO,OA,AA,AO,OI,IU,UO,OI,IE,EI,IA,AI,IA,AE,EU,UI,IA,AA,AI,IA,AI,IA,AE,EA,AI,IO,OO,OI,IU,UI,IU,UE,EO,OE,EI,IA,AO,OI,IU,UE,EE,EU,UA,AA,AA,AO,OA,AE,EU,UE,EE,EA,AU,UU,UO,OI,IA",83,67~90
I O A U E U A O O E O U I A U A A A O E A E I O U A A I I U O E E E U E A O O O A A O U A O I I U A E I I I A U O U E A A U I O I I I E A O I E A I I I A O E E I O I O O E,"IO,OA,AU,UE,EU,UA,AO,OO,OE,EO,OU,UI,IA,AU,UA,AA,AA,AO,OE,EA,AE,EI,IO,OU,UA,AA,AI,II,IU,UO,OE,EE,EE,EU,UE,EA,AO,OO,OO,OA,AA,AO,OU,UA,AO,OI,II,IU,UA,AE,EI,II,II,IA,AU,UO,OU,UE,EA,AA,AU,UI,IO,OI,II,II,IE,EA,AO,OI,IE,EA,AI,II,II,IA,AO,OE,EE,EI,IO,OI,IO,OO,OE",86,67~90
I I A A I A A I U A I A O U I U U A A I I A A I A I A U U U A U A O O I E U E U U I O O O U O E O U E I A A A I U E U A O O I O I E I I A U O E E A A O O E U E,"II,IA,AA,AI,IA,AA,AI,IU,UA,AI,IA,AO,OU,UI,IU,UU,UA,AA,AI,II,IA,AA,AI,IA,AI,IA,AU,UU,UU,UA,AU,UA,AO,OO,OI,IE,EU,UE,EU,UU,UI,IO,OO,OO,OU,UO,OE,EO,OU,UE,EI,IA,AA,AA,AI,IU,UE,EU,UA,AO,OO,OI,IO,OI,IE,EI,II,IA,AU,UO,OE,EE,EA,AA,AO,OO,OE,EU,UE",80,67~90
A E O I O I E O E A A E O O E I I A I A U I A O E O U A A A A I O A U U U O A A A A U I I E E U U O O I O I U U O I U I I O O O A U I A O E E,"AE,EO,OI,IO,OI,IE,EO,OE,EA,AA,AE,EO,OO,OE,EI,II,IA,AI,IA,AU,UI,IA,AO,OE,EO,OU,UA,AA,AA,AA,AI,IO,OA,AU,UU,UU,UO,OA,AA,AA,AA,AU,UI,II,IE,EE,EU,UU,UO,OO,OI,IO,OI,IU,UU,UO,OI,IU,UI,II,IO,OO,OO,OA,AU,UI,IA,AO,OE,EE",71,67~90
U I O U A A E O U O A O U E I A O U A O E E I I A U U A U I U A A U O U U A A U E I E A U O U A U U E U O O O A I I I A E I O O E U U I E I I A O I,"UI,IO,OU,UA,AA,AE,EO,OU,UO,OA,AO,OU,UE,EI,IA,AO,OU,UA,AO,OE,EE,EI,II,IA,AU,UU,UA,AU,UI,IU,UA,AA,AU,UO,OU,UU,UA,AA,AU,UE,EI,IE,EA,AU,UO,OU,UA,AU,UU,UE,EU,UO,OO,OO,OA,AI,II,II,IA,AE,EI,IO,OO,OE,EU,UU,UI,IE,EI,II,IA,AO,OI",74,67~90
E A A A O U U E I A A I O I O E A I A O I E U U U O E I O A O U I I U A O O I E E U I U O U I I E A A A I A U O O O U O A A E U A I I U A E I A A U O E U U I E A I A E E E O E,"EA,AA,AA,AO,OU,UU,UE,EI,IA,AA,AI,IO,OI,IO,OE,EA,AI,IA,AO,OI,IE,EU,UU,UU,UO,OE,EI,IO,OA,AO,OU,UI,II,IU,UA,AO,OO,OI,IE,EE,EU,UI,IU,UO,OU,UI,II,IE,EA,AA,AA,AI,IA,AU,UO,OO,OO,OU,UO,OA,AA,AE,EU,UA,AI,II,IU,UA,AE,EI,IA,AA,AU,UO,OE,EU,UU,UI,IE,EA,AI,IA,AE,EE,EE,EO,OE",88,67~90
E O I I E O E O A O U O A E O O I I E U E A A E U U I O A I A I O U E O A O I A I U U A O E E A I U I A O I E U A I U O E O I U U U I O E I O A A E U E U U O,"EO,OI,II,IE,EO,OE,EO,OA,AO,OU,UO,OA,AE,EO,OO,OI,II,IE,EU,UE,EA,AA,AE,EU,UU,UI,IO,OA,AI,IA,AI,IO,OU,UE,EO,OA,AO,OI,IA,AI,IU,UU,UA,AO,OE,EE,EA,AI,IU,UI,IA,AO,OI,IE,EU,UA,AI,IU,UO,OE,EO,OI,IU,UU,UU,UI,IO,OE,EI,IO,OA,AA,AE,EU,UE,EU,UU,UO",79,67~90
I A E U I E O O U E E I I I O U A O O A E O I O O O A O O I O O A U O O E O O O O U U O A O E I E O A U A U I E O O I I O O A O U E U,"IA,AE,EU,UI,IE,EO,OO,OU,UE,EE,EI,II,II,IO,OU,UA,AO,OO,OA,AE,EO,OI,IO,OO,OO,OA,AO,OO,OI,IO,OO,OA,AU,UO,OO,OE,EO,OO,OO,OO,OU,UU,UO,OA,AO,OE,EI,IE,EO,OA,AU,UA,AU,UI,IE,EO,OO,OI,II,IO,OO,OA,AO,OU,UE,EU",67,67~90
O A O O A O I U O A I E E I I E I A I I A A A U O A A E E I O A I E I A U O I U U E I U U E A O E U O O U E I O A E I O A E U E E O U A E A E U O I O A E A E E U,"OA,AO,OO,OA,AO,OI,IU,UO,OA,AI,IE,EE,EI,II,IE,EI,IA,AI,II,IA,AA,AA,AU,UO,OA,AA,AE,EE,EI,IO,OA,AI,IE,EI,IA,AU,UO,OI,IU,UU,UE,EI,IU,UU,UE,EA,AO,OE,EU,UO,OO,OU,UE,EI,IO,OA,AE,EI,IO,OA,AE,EU,UE,EE,EO,OU,UA,AE,EA,AE,EU,UO,OI,IO,OA,AE,EA,AE,EE,EU",81,67~90
A U O I A O E U E U O U O I E O A A A E U I O O I O E U I E O I U E A E U A I O O E A I I U E A U I I O U I O O O O I O I O E I A I O I O E E I,"AU,UO,OI,IA,AO,OE,EU,UE,EU,UO,OU,UO,OI,IE,EO,OA,AA,AA,AE,EU,UI,IO,OO,OI,IO,OE,EU,UI,IE,EO,OI,IU,UE,EA,AE,EU,UA,AI,IO,OO,OE,EA,AI,II,IU,UE,EA,AU,UI,II,IO,OU,UI,IO,OO,OO,OO,OI,IO,OI,IO,OE,EI,IA,AI,IO,OI,IO,OE,EE,EI",72,67~90
O E U A O O E O I O I I E A I I I U E A U E O O E O I U I O U I U E E I A A I U E E O A I E O O O E I A E O O O O U O A O O E A O O O O,"OE,EU,UA,AO,OO,OE,EO,OI,IO,OI,II,IE,EA,AI,II,II,IU,UE,EA,AU,UE,EO,OO,OE,EO,OI,IU,UI,IO,OU,UI,IU,UE,EE,EI,IA,AA,AI,IU,UE,EE,EO,OA,AI,IE,EO,OO,OO,OE,EI,IA,AE,EO,OO,OO,OO,OU,UO,OA,AO,OO,OE,EA,AO,OO,OO,OO",68,67~90
I O I I I U U A E O E A U U A I U A E E A U E U I A U E E I O E A A U E I O A I U I U I O U U I E I I O O A U O E U U A A E O I A A A I A U U U A,"IO,OI,II,II,IU,UU,UA,AE,EO,OE,EA,AU,UU,UA,AI,IU,UA,AE,EE,EA,AU,UE,EU,UI,IA,AU,UE,EE,EI,IO,OE,EA,AA,AU,UE,EI,IO,OA,AI,IU,UI,IU,UI,IO,OU,UU,UI,IE,EI,II,IO,OO,OA,AU,UO,OE,EU,UU,UA,AA,AE,EO,OI,IA,AA,AA,AI,IA,AU,UU,UU,UA",73,67~90
E U O E E I O O O A I U A E A O O O E I U O O E E U E A O O A I I I A O A I A A I O A A I O U I E A A I O U I E U A U E A U U E U U I U U A I O E E O A,"EU,UO,OE,EE,EI,IO,OO,OO,OA,AI,IU,UA,AE,EA,AO,OO,OO,OE,EI,IU,UO,OO,OE,EE,EU,UE,EA,AO,OO,OA,AI,II,II,IA,AO,OA,AI,IA,AA,AI,IO,OA,AA,AI,IO,OU,UI,IE,EA,AA,AI,IO,OU,UI,IE,EU,UA,AU,UE,EA,AU,UU,UE,EU,UU,UI,IU,UU,UA,AI,IO,OE,EE,EO,OA",76,67~90
U A U E A I U O O O E O O O E U I O E I O U U U E U I U I U I U A O E I I U I A E O O U U A I O U A I O A U A E I E A A O O E O I U I O O U,"UA,AU,UE,EA,AI,IU,UO,OO,OO,OE,EO,OO,OO,OE,EU,UI,IO,OE,EI,IO,OU,UU,UU,UE,EU,UI,IU,UI,IU,UI,IU,UA,AO,OE,EI,II,IU,UI,IA,AE,EO,OO,OU,UU,UA,AI,IO,OU,UA,AI,IO,OA,AU,UA,AE,EI,IE,EA,AA,AO,OO,OE,EO,OI,IU,UI,IO,OO,OU",70,67~90
O E E A A O U A O A E U E A O O O E E O O E A U U U A I E A E E E O U U O E U U E E A O I I E E O A A I E E E O O E O I E O I A E E U A E O E U E E U U O A I U E O I A I,"OE,EE,EA,AA,AO,OU,UA,AO,OA,AE,EU,UE,EA,AO,OO,OO,OE,EE,EO,OO,OE,EA,AU,UU,UU,UA,AI,IE,EA,AE,EE,EE,EO,OU,UU,UO,OE,EU,UU,UE,EE,EA,AO,OI,II,IE,EE,EO,OA,AA,AI,IE,EE,EE,EO,OO,OE,EO,OI,IE,EO,OI,IA,AE,EE,EU,UA,AE,EO,OE,EU,UE,EE,EU,UU,UO,OA,AI,IU,UE,EO,OI,IA,AI",85,67~90
U I O U I O O I I A U U A E U O O E I A O A E I E O I I E A U I E I E O O O O O U I O E A E E U E O I E E I O U U E I E O A I I A A A E O E A O O U O O I E U O E E I I O U A A,"UI,IO,OU,UI,IO,OO,OI,II,IA,AU,UU,UA,AE,EU,UO,OO,OE,EI,IA,AO,OA,AE,EI,IE,EO,OI,II,IE,EA,AU,UI,IE,EI,IE,EO,OO,OO,OO,OO,OU,UI,IO,OE,EA,AE,EE,EU,UE,EO,OI,IE,EE,EI,IO,OU,UU,UE,EI,IE,EO,OA,AI,II,IA,AA,AA,AE,EO,OE,EA,AO,OO,OU,UO,OO,OI,IE,EU,UO,OE,EE,EI,II,IO,OU,UA,AA",88,67~90
E U E I U U A I I I E U I E E O I I I O U A O A A I I O A E O O O I O E E I A E A I O U U I E E E U O U A O A E E O U I E I A U U E A E E,"EU,UE,EI,IU,UU,UA,AI,II,II,IE,EU,UI,IE,EE,EO,OI,II,II,IO,OU,UA,AO,OA,AA,AI,II,IO,OA,AE,EO,OO,OO,OI,IO,OE,EE,EI,IA,AE,EA,AI,IO,OU,UU,UI,IE,EE,EE,EU,UO,OU,UA,AO,OA,AE,EE,EO,OU,UI,IE,EI,IA,AU,UU,UE,EA,AE,EE",69,67~90
E I A O A I E U I A A A I O U E O O E A O A U E A I I O E O E O O E O O A I O I I O U U E U O O U U O E A O I U A U I U E E U O E E E U I A E E O O I O O I O,"EI,IA,AO,OA,AI,IE,EU,UI,IA,AA,AA,AI,IO,OU,UE,EO,OO,OE,EA,AO,OA,AU,UE,EA,AI,II,IO,OE,EO,OE,EO,OO,OE,EO,OO,OA,AI,IO,OI,II,IO,OU,UU,UE,EU,UO,OO,OU,UU,UO,OE,EA,AO,OI,IU,UA,AU,UI,IU,UE,EE,EU,UO,OE,EE,EE,EU,UI,IA,AE,EE,EO,OO,OI,IO,OO,OI,IO",79,67~90
A I O U U E A I U O O A E I E U E A A I U U A E A E I U A A I U E O I E O O A E U E E O I U U O A O E A U E O O I U I E U U U O O O E,"AI,IO,OU,UU,UE,EA,AI,IU,UO,OO,OA,AE,EI,IE,EU,UE,EA,AA,AI,IU,UU,UA,AE,EA,AE,EI,IU,UA,AA,AI,IU,UE,EO,OI,IE,EO,OO,OA,AE,EU,UE,EE,EO,OI,IU,UU,UO,OA,AO,OE,EA,AU,UE,EO,OO,OI,IU,UI,IE,EU,UU,UU,UO,OO,OO,OE",67,67~90
U O I E U A U O I O I O I O I A A E I U E A U U O I E O E A E E E E I U U I U I E U U U E U E O U E A A U A E A A E U I I E E E U I E E U A A I I U O A U U O I I E I U E,"UO,OI,IE,EU,UA,AU,UO,OI,IO,OI,IO,OI,IO,OI,IA,AA,AE,EI,IU,UE,EA,AU,UU,UO,OI,IE,EO,OE,EA,AE,EE,EE,EE,EI,IU,UU,UI,IU,UI,IE,EU,UU,UU,UE,EU,UE,EO,OU,UE,EA,AA,AU,UA,AE,EA,AA,AE,EU,UI,II,IE,EE,EE,EU,UI,IE,EE,EU,UA,AA,AI,II,IU,UO,OA,AU,UU,UO,OI,II,IE,EI,IU,UE",85,67~90
I I I O U I E U I I I O E I O O E I I I A I I E O A A U U U I O O U A U U O E I I O E O I U E I E U I O E U U A E A I O A A U I A O E I U I E U U A I,"II,II,IO,OU,UI,IE,EU,UI,II,II,IO,OE,EI,IO,OO,OE,EI,II,II,IA,AI,II,IE,EO,OA,AA,AU,UU,UU,UI,IO,OO,OU,UA,AU,UU,UO,OE,EI,II,IO,OE,EO,OI,IU,UE,EI,IE,EU,UI,IO,OE,EU,UU,UA,AE,EA,AI,IO,OA,AA,AU,UI,IA,AO,OE,EI,IU,UI,IE,EU,UU,UA,AI",75,67~90
I I A O U O I A O E O A U I A U I E A E O O E U A O I U E O E U E I O I A E E U O A O O I E O U A O U O E I U O I E A I A O I I O E U O U A A A U E I A I U I A A I O E E U O,"II,IA,AO,OU,UO,OI,IA,AO,OE,EO,OA,AU,UI,IA,AU,UI,IE,EA,AE,EO,OO,OE,EU,UA,AO,OI,IU,UE,EO,OE,EU,UE,EI,IO,OI,IA,AE,EE,EU,UO,OA,AO,OO,OI,IE,EO,OU,UA,AO,OU,UO,OE,EI,IU,UO,OI,IE,EA,AI,IA,AO,OI,II,IO,OE,EU,UO,OU,UA,AA,AA,AU,UE,EI,IA,AI,IU,UI,IA,AA,AI,IO,OE,EE,EU,UO",87,67~90
A O U A I A A A E A O U A E U U A E O U I I A E U A U O A O A I A I A E U I O E O O E A I O A E A E U A U O O U U E E I O I I A A U I E A A I I U I E O,"AO,OU,UA,AI,IA,AA,AA,AE,EA,AO,OU,UA,AE,EU,UU,UA,AE,EO,OU,UI,II,IA,AE,EU,UA,AU,UO,OA,AO,OA,AI,IA,AI,IA,AE,EU,UI,IO,OE,EO,OO,OE,EA,AI,IO,OA,AE,EA,AE,EU,UA,AU,UO,OO,OU,UU,UE,EE,EI,IO,OI,II,IA,AA,AU,UI,IE,EA,AA,AI,II,IU,UI,IE,EO",76,67~90
A A O E A I U I I A O A E A U E I A O U U U O E U I I E E A I U A E O U A I I O E U E E I E A A U E A A A E O E U U O O A E I A U E E O O I E I A E E O U,"AA,AO,OE,EA,AI,IU,UI,II,IA,AO,OA,AE,EA,AU,UE,EI,IA,AO,OU,UU,UU,UO,OE,EU,UI,II,IE,EE,EA,AI,IU,UA,AE,EO,OU,UA,AI,II,IO,OE,EU,UE,EE,EI,IE,EA,AA,AU,UE,EA,AA,AA,AE,EO,OE,EU,UU,UO,OO,OA,AE,EI,IA,AU,UE,EE,EO,OO,OI,IE,EI,IA,AE,EE,EO,OU",77,67~90
A I U A A E O A E E O I A I E O A A O E I I U A U O E E E E I E O U I E U U I A E E A E I A U A A E E I O O O I A I U A E U U E U U U E E A A A A A I A U I E E A I U U A,"AI,IU,UA,AA,AE,EO,OA,AE,EE,EO,OI,IA,AI,IE,EO,OA,AA,AO,OE,EI,II,IU,UA,AU,UO,OE,EE,EE,EE,EI,IE,EO,OU,UI,IE,EU,UU,UI,IA,AE,EE,EA,AE,EI,IA,AU,UA,AA,AE,EE,EI,IO,OO,OO,OI,IA,AI,IU,UA,AE,EU,UU,UE,EU,UU,UU,UE,EE,EA,AA,AA,AA,AA,AI,IA,AU,UI,IE,EE,EA,AI,IU,UU,UA",85,67~90
O U O U I O A U I I U A I O O I O I A E U U I E I O I U I E I O A A E E A E E I I E A I O O U A O A U I U O E A I E E U I E I U O O U U E A I U,"OU,UO,OU,UI,IO,OA,AU,UI,II,IU,UA,AI,IO,OO,OI,IO,OI,IA,AE,EU,UU,UI,IE,EI,IO,OI,IU,UI,IE,EI,IO,OA,AA,AE,EE,EA,AE,EE,EI,II,IE,EA,AI,IO,OO,OU,UA,AO,OA,AU,UI,IU,UO,OE,EA,AI,IE,EE,EU,UI,IE,EI,IU,UO,OO,OU,UU,UE,EA,AI,IU",72,67~90
U E O E A U E U I U I A O U U A U O U O I I O E I A E I I A E E I E O A A U A A O E I O U O E O E O I I O I A I E U A I A I E U I O U O I O E O U O U O U O A U O I I O A,"UE,EO,OE,EA,AU,UE,EU,UI,IU,UI,IA,AO,OU,UU,UA,AU,UO,OU,UO,OI,II,IO,OE,EI,IA,AE,EI,II,IA,AE,EE,EI,IE,EO,OA,AA,AU,UA,AA,AO,OE,EI,IO,OU,UO,OE,EO,OE,EO,OI,II,IO,OI,IA,AI,IE,EU,UA,AI,IA,AI,IE,EU,UI,IO,OU,UO,OI,IO,OE,EO,OU,UO,OU,UO,OU,UO,OA,AU,UO,OI,II,IO,OA",85,67~90
O I O I A O U I U O E A O I U E E I U I O U U O I U E I A E I A A A O E I E I I A I U E I U O I I I I A O O E E I O E A U E A I A E I I I E O I I E I I I O U I U E A O,"OI,IO,OI,IA,AO,OU,UI,IU,UO,OE,EA,AO,OI,IU,UE,EE,EI,IU,UI,IO,OU,UU,UO,OI,IU,UE,EI,IA,AE,EI,IA,AA,AA,AO,OE,EI,IE,EI,II,IA,AI,IU,UE,EI,IU,UO,OI,II,II,II,IA,AO,OO,OE,EE,EI,IO,OE,EA,AU,UE,EA,AI,IA,AE,EI,II,II,IE,EO,OI,II,IE,EI,II,II,IO,OU,UI,IU,UE,EA,AO",84,67~90
O A A O A O I O A I O E U A O E A I A E I U O O A U O E E I U A O O U E I I E E I U E A A I A I O U I I E O O E A E U U I E I U A E O A E U U I O,"OA,AA,AO,OA,AO,OI,IO,OA,AI,IO,OE,EU,UA,AO,OE,EA,AI,IA,AE,EI,IU,UO,OO,OA,AU,UO,OE,EE,EI,IU,UA,AO,OO,OU,UE,EI,II,IE,EE,EI,IU,UE,EA,AA,AI,IA,AI,IO,OU,UI,II,IE,EO,OO,OE,EA,AE,EU,UU,UI,IE,EI,IU,UA,AE,EO,OA,AE,EU,UU,UI,IO",73,67~90
A E E U U E E U U I A I O I E O O I U A E O E U U O O U I U I E O U E U I A E A E A O E U O O O E A I U A I U U E U I E I I A O E U U U A I E E A O I O A U U,"AE,EE,EU,UU,UE,EE,EU,UU,UI,IA,AI,IO,OI,IE,EO,OO,OI,IU,UA,AE,EO,OE,EU,UU,UO,OO,OU,UI,IU,UI,IE,EO,OU,UE,EU,UI,IA,AE,EA,AE,EA,AO,OE,EU,UO,OO,OO,OE,EA,AI,IU,UA,AI,IU,UU,UE,EU,UI,IE,EI,II,IA,AO,OE,EU,UU,UU,UA,AI,IE,EE,EA,AO,OI,IO,OA,AU,UU",79,67~90
U I U A E A I I O E A I E A O E O I I I O I O U A U A U E U E E I A I O E U U U U A E I O A E A E U I U A I E O O E U U A U U E E E U O,"UI,IU,UA,AE,EA,AI,II,IO,OE,EA,AI,IE,EA,AO,OE,EO,OI,II,II,IO,OI,IO,OU,UA,AU,UA,AU,UE,EU,UE,EE,EI,IA,AI,IO,OE,EU,UU,UU,UU,UA,AE,EI,IO,OA,AE,EA,AE,EU,UI,IU,UA,AI,IE,EO,OO,OE,EU,UU,UA,AU,UU,UE,EE,EE,EU,UO",68,67~90
