input,output,len_sequence,bins
E A A A A U A O E A A I A A O I E E I U I U A A E E O I E U A I O U O U A A E E A I O E I U A E I A I E A E O O E I U O U A U A U E E A U U I I E I I U U O A I I O I O O I O U I,"EA,AA,AA,AA,AU,UA,AO,OE,EA,AA,AI,IA,AA,AO,OI,IE,EE,EI,IU,UI,IU,UA,AA,AE,EE,EO,OI,IE,EU,UA,AI,IO,OU,UO,OU,UA,AA,AE,EE,EA,AI,IO,OE,EI,IU,UA,AE,EI,IA,AI,IE,EA,AE,EO,OO,OE,EI,IU,UO,OU,UA,AU,UA,AU,UE,EE,EA,AU,UU,UI,II,IE,EI,II,IU,UU,UO,OA,AI,II,IO,OI,IO,OO,OI,IO,OU,UI",89,67~90
U I E A I I O I O O O U U A U I U I U I E A U E I O O O U A I I E U U E I I O A U A I U U U E O O I A I U A O U U I I E O A U A E E I A O E U A I I E O E U,"UI,IE,EA,AI,II,IO,OI,IO,OO,OO,OU,UU,UA,AU,UI,IU,UI,IU,UI,IE,EA,AU,UE,EI,IO,OO,OO,OU,UA,AI,II,IE,EU,UU,UE,EI,II,IO,OA,AU,UA,AI,IU,UU,UU,UE,EO,OO,OI,IA,AI,IU,UA,AO,OU,UU,UI,II,IE,EO,OA,AU,UA,AE,EE,EI,IA,AO,OE,EU,UA,AI,II,IE,EO,OE,EU",78,67~90
U I I O E U A I O I U E U A O I I O U U A A I U E I I A I O A I I I A A I I E I U E I O I U O I O U I E U O I E A U O O A A I O A E A,"UI,II,IO,OE,EU,UA,AI,IO,OI,IU,UE,EU,UA,AO,OI,II,IO,OU,UU,UA,AA,AI,IU,UE,EI,II,IA,AI,IO,OA,AI,II,II,IA,AA,AI,II,IE,EI,IU,UE,EI,IO,OI,IU,UO,OI,IO,OU,UI,IE,EU,UO,OI,IE,EA,AU,UO,OO,OA,AA,AI,IO,OA,AE,EA",67,67~90
A O I I A I I E I I O O E I I I O U O O A A E E E O U E E O O O A I O E U I O I O A U I O E E A E A A O A I A O A A E U I O I E E A A U I,"AO,OI,II,IA,AI,II,IE,EI,II,IO,OO,OE,EI,II,II,IO,OU,UO,OO,OA,AA,AE,EE,EE,EO,OU,UE,EE,EO,OO,OO,OA,AI,IO,OE,EU,UI,IO,OI,IO,OA,AU,UI,IO,OE,EE,EA,AE,EA,AA,AO,OA,AI,IA,AO,OA,AA,AE,EU,UI,IO,OI,IE,EE,EA,AA,AU,UI",69,67~90
I E O E O U I I E E A I U A E U I U E E A I E I O U A U I E I E A U E U U O O E I O E I I A A A A U U E E U O I I E E O U I A A U E O E U E U E I E A O O U E E E O O E U U,"IE,EO,OE,EO,OU,UI,II,IE,EE,EA,AI,IU,UA,AE,EU,UI,IU,UE,EE,EA,AI,IE,EI,IO,OU,UA,AU,UI,IE,EI,IE,EA,AU,UE,EU,UU,UO,OO,OE,EI,IO,OE,EI,II,IA,AA,AA,AA,AU,UU,UE,EE,EU,UO,OI,II,IE,EE,EO,OU,UI,IA,AA,AU,UE,EO,OE,EU,UE,EU,UE,EI,IE,EA,AO,OO,OU,UE,EE,EE,EO,OO,OE,EU,UU",86,67~90
E O E A I O U U U A U A I O I A U I U O A E I I I U O A I U A O E A O E E E I O A O I A U O O U E O I U E A U E I O O U E U O O A E A A O I A U E I O I O I O E,"EO,OE,EA,AI,IO,OU,UU,UU,UA,AU,UA,AI,IO,OI,IA,AU,UI,IU,UO,OA,AE,EI,II,II,IU,UO,OA,AI,IU,UA,AO,OE,EA,AO,OE,EE,EE,EI,IO,OA,AO,OI,IA,AU,UO,OO,OU,UE,EO,OI,IU,UE,EA,AU,UE,EI,IO,OO,OU,UE,EU,UO,OO,OA,AE,EA,AA,AO,OI,IA,AU,UE,EI,IO,OI,IO,OI,IO,OE",80,67~90
I A E O U A O O I A O A E A I E U O O O O I U E E E U U I U O I E U O E A O O U I E E U E E O E O O E A O I E I O U E O E I U A E A O A O A U A O O O I E U U A U U I A A U,"IA,AE,EO,OU,UA,AO,OO,OI,IA,AO,OA,AE,EA,AI,IE,EU,UO,OO,OO,OO,OI,IU,UE,EE,EE,EU,UU,UI,IU,UO,OI,IE,EU,UO,OE,EA,AO,OO,OU,UI,IE,EE,EU,UE,EE,EO,OE,EO,OO,OE,EA,AO,OI,IE,EI,IO,OU,UE,EO,OE,EI,IU,UA,AE,EA,AO,OA,AO,OA,AU,UA,AO,OO,OO,OI,IE,EU,UU,UA,AU,UU,UI,IA,AA,AU",86,67~90
E O O I E E O O I E E O A E E O I A U A O U O U U E O O I E I O E A O U O E A A I I U A A E I I E I I I I I E A I U I U I U U O E I O I O O E A I E I E,"EO,OO,OI,IE,EE,EO,OO,OI,IE,EE,EO,OA,AE,EE,EO,OI,IA,AU,UA,AO,OU,UO,OU,UU,UE,EO,OO,OI,IE,EI,IO,OE,EA,AO,OU,UO,OE,EA,AA,AI,II,IU,UA,AA,AE,EI,II,IE,EI,II,II,II,II,IE,EA,AI,IU,UI,IU,UI,IU,UU,UO,OE,EI,IO,OI,IO,OO,OE,EA,AI,IE,EI,IE",76,67~90
E U U I O O I I A E E O O A O A U A I O O U O I E A O A I A U E E I E O E I U U O O E E O O U I O U U E A U U O U E I U I O U I A A I U E I I E O O I E I O A O E E O O I A O I I,"EU,UU,UI,IO,OO,OI,II,IA,AE,EE,EO,OO,OA,AO,OA,AU,UA,AI,IO,OO,OU,UO,OI,IE,EA,AO,OA,AI,IA,AU,UE,EE,EI,IE,EO,OE,EI,IU,UU,UO,OO,OE,EE,EO,OO,OU,UI,IO,OU,UU,UE,EA,AU,UU,UO,OU,UE,EI,IU,UI,IO,OU,UI,IA,AA,AI,IU,UE,EI,II,IE,EO,OO,OI,IE,EI,IO,OA,AO,OE,EE,EO,OO,OI,IA,AO,OI,II",89,67~90
U U A A A U O E I I A A A O E O O U A E A A A U U O I I E E O I A U O O I I A E O U A U O O I O I U O I I A E E U O A O I U I U I U I A A O O,"UU,UA,AA,AA,AU,UO,OE,EI,II,IA,AA,AA,AO,OE,EO,OO,OU,UA,AE,EA,AA,AA,AU,UU,UO,OI,II,IE,EE,EO,OI,IA,AU,UO,OO,OI,II,IA,AE,EO,OU,UA,AU,UO,OO,OI,IO,OI,IU,UO,OI,II,IA,AE,EE,EU,UO,OA,AO,OI,IU,UI,IU,UI,IU,UI,IA,AA,AO,OO",71,67~90
E U U E O A E I E E U I E E O A O I O A I A E I E I U O A A U I A O A U O A I E E U U I U O O U E E O O O U A I E U O O O O I A E O A I I I I I,"EU,UU,UE,EO,OA,AE,EI,IE,EE,EU,UI,IE,EE,EO,OA,AO,OI,IO,OA,AI,IA,AE,EI,IE,EI,IU,UO,OA,AA,AU,UI,IA,AO,OA,AU,UO,OA,AI,IE,EE,EU,UU,UI,IU,UO,OO,OU,UE,EE,EO,OO,OO,OU,UA,AI,IE,EU,UO,OO,OO,OO,OI,IA,AE,EO,OA,AI,II,II,II,II",72,67~90
I U O O O A O O O O I O A I E E O A A E U A O E O O U U A E U E O O U I O I I O U U U U U O O O E E E U U A O A U A O I U A U O O O O O I U U U O O E U U I E A U,"IU,UO,OO,OO,OA,AO,OO,OO,OO,OI,IO,OA,AI,IE,EE,EO,OA,AA,AE,EU,UA,AO,OE,EO,OO,OU,UU,UA,AE,EU,UE,EO,OO,OU,UI,IO,OI,II,IO,OU,UU,UU,UU,UU,UO,OO,OO,OE,EE,EE,EU,UU,UA,AO,OA,AU,UA,AO,OI,IU,UA,AU,UO,OO,OO,OO,OO,OI,IU,UU,UU,UO,OO,OE,EU,UU,UI,IE,EA,AU",81,67~90
E E A I O E A A A U A A I A U O E A U U A E E A E O I O A O U U U E A E U E O I E A U O U E U U E O I U A U I I U A E E E O A U U A A O U O O I A E O A U U I U A E O U O U O A I,"EE,EA,AI,IO,OE,EA,AA,AA,AU,UA,AA,AI,IA,AU,UO,OE,EA,AU,UU,UA,AE,EE,EA,AE,EO,OI,IO,OA,AO,OU,UU,UU,UE,EA,AE,EU,UE,EO,OI,IE,EA,AU,UO,OU,UE,EU,UU,UE,EO,OI,IU,UA,AU,UI,II,IU,UA,AE,EE,EE,EO,OA,AU,UU,UA,AA,AO,OU,UO,OO,OI,IA,AE,EO,OA,AU,UU,UI,IU,UA,AE,EO,OU,UO,OU,UO,OA,AI",89,67~90
A U A E O E E O U E I O I U U O U I A U E A A O I O E O I U I U U O E O I A I O O I U I A U A E U E U O E U O A O O E I E O A O A E A E E E O O I,"AU,UA,AE,EO,OE,EE,EO,OU,UE,EI,IO,OI,IU,UU,UO,OU,UI,IA,AU,UE,EA,AA,AO,OI,IO,OE,EO,OI,IU,UI,IU,UU,UO,OE,EO,OI,IA,AI,IO,OO,OI,IU,UI,IA,AU,UA,AE,EU,UE,EU,UO,OE,EU,UO,OA,AO,OO,OE,EI,IE,EO,OA,AO,OA,AE,EA,AE,EE,EE,EO,OO,OI",73,67~90
A O E A I I O U E I U E E E I A A I I U E U E I O A E U E I O I O A E O E I I E I A A O O O O E A O O O A U E A A E O U E A O U A I I A U I I,"AO,OE,EA,AI,II,IO,OU,UE,EI,IU,UE,EE,EE,EI,IA,AA,AI,II,IU,UE,EU,UE,EI,IO,OA,AE,EU,UE,EI,IO,OI,IO,OA,AE,EO,OE,EI,II,IE,EI,IA,AA,AO,OO,OO,OO,OE,EA,AO,OO,OO,OA,AU,UE,EA,AA,AE,EO,OU,UE,EA,AO,OU,UA,AI,II,IA,AU,UI,II",71,67~90
O I I I I U A U U U I I A U A U O O U A A E I O I O U E I E U U I A I U I E I A U O A O E A E A I I U O E E A I U O O O O E E U A I E A A U I U A,"OI,II,II,II,IU,UA,AU,UU,UU,UI,II,IA,AU,UA,AU,UO,OO,OU,UA,AA,AE,EI,IO,OI,IO,OU,UE,EI,IE,EU,UU,UI,IA,AI,IU,UI,IE,EI,IA,AU,UO,OA,AO,OE,EA,AE,EA,AI,II,IU,UO,OE,EE,EA,AI,IU,UO,OO,OO,OO,OE,EE,EU,UA,AI,IE,EA,AA,AU,UI,IU,UA",73,67~90
O E A I A A O U U I U U A E O E E A E O A U O O E U U U U O A U O A E E A A U A E O A U I U U U A E O U O E O A O O O A O A O E E U A E U O O O U I I,"OE,EA,AI,IA,AA,AO,OU,UU,UI,IU,UU,UA,AE,EO,OE,EE,EA,AE,EO,OA,AU,UO,OO,OE,EU,UU,UU,UU,UO,OA,AU,UO,OA,AE,EE,EA,AA,AU,UA,AE,EO,OA,AU,UI,IU,UU,UU,UA,AE,EO,OU,UO,OE,EO,OA,AO,OO,OO,OA,AO,OA,AO,OE,EE,EU,UA,AE,EU,UO,OO,OO,OU,UI,II",75,67~90
A O A E O A A A I U E I A A E A O U U A U A I E A E U E U E I O O U U I A A I O I A I I U O A A I E I I U O U U O U I I A U E U I I I O O E O I O U E A U O,"AO,OA,AE,EO,OA,AA,AA,AI,IU,UE,EI,IA,AA,AE,EA,AO,OU,UU,UA,AU,UA,AI,IE,EA,AE,EU,UE,EU,UE,EI,IO,OO,OU,UU,UI,IA,AA,AI,IO,OI,IA,AI,II,IU,UO,OA,AA,AI,IE,EI,II,IU,UO,OU,UU,UO,OU,UI,II,IA,AU,UE,EU,UI,II,II,IO,OO,OE,EO,OI,IO,OU,UE,EA,AU,UO",78,67~90
A E O I O O A A O E A I E I O O A A A U E O A I I A E O O A I U O O A A E U E A U A I A E U U O I O E O A O I E A I U I E A I O A A I I O I E U U O A I O E,"AE,EO,OI,IO,OO,OA,AA,AO,OE,EA,AI,IE,EI,IO,OO,OA,AA,AA,AU,UE,EO,OA,AI,II,IA,AE,EO,OO,OA,AI,IU,UO,OO,OA,AA,AE,EU,UE,EA,AU,UA,AI,IA,AE,EU,UU,UO,OI,IO,OE,EO,OA,AO,OI,IE,EA,AI,IU,UI,IE,EA,AI,IO,OA,AA,AI,II,IO,OI,IE,EU,UU,UO,OA,AI,IO,OE",78,67~90
A O O I U O E E E E O E A I I I I I U I E U U U I I I O O A A E U E I A U O A I I E I A E O O A I E U E A U I I O U I U E A O O I I O E A O I,"AO,OO,OI,IU,UO,OE,EE,EE,EE,EO,OE,EA,AI,II,II,II,II,IU,UI,IE,EU,UU,UU,UI,II,II,IO,OO,OA,AA,AE,EU,UE,EI,IA,AU,UO,OA,AI,II,IE,EI,IA,AE,EO,OO,OA,AI,IE,EU,UE,EA,AU,UI,II,IO,OU,UI,IU,UE,EA,AO,OO,OI,II,IO,OE,EA,AO,OI",71,67~90
I U I O U A U O O O A O A A O I O O U E E E O U I E E U E U O A E E E A I I A O U I O U U E O E I U O E E U O U I A O O U U E A E A U I I U I E E I U O I A O I I E I U,"IU,UI,IO,OU,UA,AU,UO,OO,OO,OA,AO,OA,AA,AO,OI,IO,OO,OU,UE,EE,EE,EO,OU,UI,IE,EE,EU,UE,EU,UO,OA,AE,EE,EE,EA,AI,II,IA,AO,OU,UI,IO,OU,UU,UE,EO,OE,EI,IU,UO,OE,EE,EU,UO,OU,UI,IA,AO,OO,OU,UU,UE,EA,AE,EA,AU,UI,II,IU,UI,IE,EE,EI,IU,UO,OI,IA,AO,OI,II,IE,EI,IU",84,67~90
U E A O I O U U A E O U U U U O A U U E I E E A U U A U A E A U O U O U I U I A U U I U E U O A O E I A A E I I A U I U I E U U I I O A E I I I I U E E I E I O,"UE,EA,AO,OI,IO,OU,UU,UA,AE,EO,OU,UU,UU,UU,UO,OA,AU,UU,UE,EI,IE,EE,EA,AU,UU,UA,AU,UA,AE,EA,AU,UO,OU,UO,OU,UI,IU,UI,IA,AU,UU,UI,IU,UE,EU,UO,OA,AO,OE,EI,IA,AA,AE,EI,II,IA,AU,UI,IU,UI,IE,EU,UU,UI,II,IO,OA,AE,EI,II,II,II,IU,UE,EE,EI,IE,EI,IO",80,67~90
E A E I E O I E I O E I A O I E A E I E E U O A E A A U U U I I U O A I A A A E O U O E A E A O I E E O E U E A E A U I I O E O A A I I A E A E O O I,"EA,AE,EI,IE,EO,OI,IE,EI,IO,OE,EI,IA,AO,OI,IE,EA,AE,EI,IE,EE,EU,UO,OA,AE,EA,AA,AU,UU,UU,UI,II,IU,UO,OA,AI,IA,AA,AA,AE,EO,OU,UO,OE,EA,AE,EA,AO,OI,IE,EE,EO,OE,EU,UE,EA,AE,EA,AU,UI,II,IO,OE,EO,OA,AA,AI,II,IA,AE,EA,AE,EO,OO,OI",75,67~90
E U U U O O A O O U I A O I U U O U E I O A I A A O I A O I O A E U U U A I O U O A E O O E A I I I U U U O E U A A E U O E I O O E U U I O A E O O A A E I O E A E I I U I E O,"EU,UU,UU,UO,OO,OA,AO,OO,OU,UI,IA,AO,OI,IU,UU,UO,OU,UE,EI,IO,OA,AI,IA,AA,AO,OI,IA,AO,OI,IO,OA,AE,EU,UU,UU,UA,AI,IO,OU,UO,OA,AE,EO,OO,OE,EA,AI,II,II,IU,UU,UU,UO,OE,EU,UA,AA,AE,EU,UO,OE,EI,IO,OO,OE,EU,UU,UI,IO,OA,AE,EO,OO,OA,AA,AE,EI,IO,OE,EA,AE,EI,II,IU,UI,IE,EO",88,67~90
E I O O A A U A I U O O O U E E U U A O E A O A E U I A U E E E I O E E E I O U I E U E I E A A I E I U A A A E I A U U O E I O O E U E A I I I U E U A O E E O E O U U U A I,"EI,IO,OO,OA,AA,AU,UA,AI,IU,UO,OO,OO,OU,UE,EE,EU,UU,UA,AO,OE,EA,AO,OA,AE,EU,UI,IA,AU,UE,EE,EE,EI,IO,OE,EE,EE,EI,IO,OU,UI,IE,EU,UE,EI,IE,EA,AA,AI,IE,EI,IU,UA,AA,AA,AE,EI,IA,AU,UU,UO,OE,EI,IO,OO,OE,EU,UE,EA,AI,II,II,IU,UE,EU,UA,AO,OE,EE,EO,OE,EO,OU,UU,UU,UA,AI",87,67~90
O O E O A O A O A O A E E A O A E I U O U A O U E E A A O U A A O O U A U A I E A I A E A I U A E A I U A E I A O A I E I O U U A I O E O I O I A U E I I A,"OO,OE,EO,OA,AO,OA,AO,OA,AO,OA,AE,EE,EA,AO,OA,AE,EI,IU,UO,OU,UA,AO,OU,UE,EE,EA,AA,AO,OU,UA,AA,AO,OO,OU,UA,AU,UA,AI,IE,EA,AI,IA,AE,EA,AI,IU,UA,AE,EA,AI,IU,UA,AE,EI,IA,AO,OA,AI,IE,EI,IO,OU,UU,UA,AI,IO,OE,EO,OI,IO,OI,IA,AU,UE,EI,II,IA",78,67~90
A A O A U A U A U I U A U A I I A O A U O A E U I I A I E U I E I I E E U A O U I U I I E E I U A E I E E U U U U I O I O A O O I A I I A I I E I I A U,"AA,AO,OA,AU,UA,AU,UA,AU,UI,IU,UA,AU,UA,AI,II,IA,AO,OA,AU,UO,OA,AE,EU,UI,II,IA,AI,IE,EU,UI,IE,EI,II,IE,EE,EU,UA,AO,OU,UI,IU,UI,II,IE,EE,EI,IU,UA,AE,EI,IE,EE,EU,UU,UU,UU,UI,IO,OI,IO,OA,AO,OO,OI,IA,AI,II,IA,AI,II,IE,EI,II,IA,AU",76,67~90
E E O I I A O E U U E A U A U A A U I U I A O E I I I O O O E E U E E O A I O I I U E O U U U I U A I U A A E E O I O E A I E I U I U A E I I A E,"EE,EO,OI,II,IA,AO,OE,EU,UU,UE,EA,AU,UA,AU,UA,AA,AU,UI,IU,UI,IA,AO,OE,EI,II,II,IO,OO,OO,OE,EE,EU,UE,EE,EO,OA,AI,IO,OI,II,IU,UE,EO,OU,UU,UU,UI,IU,UA,AI,IU,UA,AA,AE,EE,EO,OI,IO,OE,EA,AI,IE,EI,IU,UI,IU,UA,AE,EI,II,IA,AE",73,67~90
A I E O E I I U A I A U O U I A O I O U U U U U I U I I I A I U A I A U A A U A I U I E U O E U E E I I O I U E U U E I U I O O E E E O A O O A I E E E A I E O A,"AI,IE,EO,OE,EI,II,IU,UA,AI,IA,AU,UO,OU,UI,IA,AO,OI,IO,OU,UU,UU,UU,UU,UI,IU,UI,II,II,IA,AI,IU,UA,AI,IA,AU,UA,AA,AU,UA,AI,IU,UI,IE,EU,UO,OE,EU,UE,EE,EI,II,IO,OI,IU,UE,EU,UU,UE,EI,IU,UI,IO,OO,OE,EE,EE,EO,OA,AO,OO,OA,AI,IE,EE,EE,EA,AI,IE,EO,OA",81,67~90
U I E O A O I U I E I U E E O E E E I I A O O A O E E U U O O A U O A A I E O A I I I U U U U I U I U O E O E I A I A A I U E A O E O E I U O O A O I E,"UI,IE,EO,OA,AO,OI,IU,UI,IE,EI,IU,UE,EE,EO,OE,EE,EE,EI,II,IA,AO,OO,OA,AO,OE,EE,EU,UU,UO,OO,OA,AU,UO,OA,AA,AI,IE,EO,OA,AI,II,II,IU,UU,UU,UU,UI,IU,UI,IU,UO,OE,EO,OE,EI,IA,AI,IA,AA,AI,IU,UE,EA,AO,OE,EO,OE,EI,IU,UO,OO,OA,AO,OI,IE",76,67~90
U A I I E U I I E A A E U A E E A A O O I I O O E U O E O U U U O A E E O A I U O I U I E O U O I E A O I E U A I U I E A U A E O U A O E A U O A E I A O I O U O,"UA,AI,II,IE,EU,UI,II,IE,EA,AA,AE,EU,UA,AE,EE,EA,AA,AO,OO,OI,II,IO,OO,OE,EU,UO,OE,EO,OU,UU,UU,UO,OA,AE,EE,EO,OA,AI,IU,UO,OI,IU,UI,IE,EO,OU,UO,OI,IE,EA,AO,OI,IE,EU,UA,AI,IU,UI,IE,EA,AU,UA,AE,EO,OU,UA,AO,OE,EA,AU,UO,OA,AE,EI,IA,AO,OI,IO,OU,UO",81,67~90
A I A E I O I U U E O I E I I A U O A U E E I I U O O O A U O O O O I U A O U E U O O U I A A A I O A E E U U O E I I I U E U I I A E A E U I O I I A U A U E E I U O I A I U O O,"AI,IA,AE,EI,IO,OI,IU,UU,UE,EO,OI,IE,EI,II,IA,AU,UO,OA,AU,UE,EE,EI,II,IU,UO,OO,OO,OA,AU,UO,OO,OO,OO,OI,IU,UA,AO,OU,UE,EU,UO,OO,OU,UI,IA,AA,AA,AI,IO,OA,AE,EE,EU,UU,UO,OE,EI,II,II,IU,UE,EU,UI,II,IA,AE,EA,AE,EU,UI,IO,OI,II,IA,AU,UA,AU,UE,EE,EI,IU,UO,OI,IA,AI,IU,UO,OO",89,67~90
O A I U U A A I O A O E A A I A U O I E I U O U E A O O O I E I E U I A I O O A I A A U O O O I I E O I A I I O A O U A I A O A U I I U O E E I U O O U,"OA,AI,IU,UU,UA,AA,AI,IO,OA,AO,OE,EA,AA,AI,IA,AU,UO,OI,IE,EI,IU,UO,OU,UE,EA,AO,OO,OO,OI,IE,EI,IE,EU,UI,IA,AI,IO,OO,OA,AI,IA,AA,AU,UO,OO,OO,OI,II,IE,EO,OI,IA,AI,II,IO,OA,AO,OU,UA,AI,IA,AO,OA,AU,UI,II,IU,UO,OE,EE,EI,IU,UO,OO,OU",76,67~90
O O A E A O A A U E O E U O A E I E O A I U I I A E I U A A U I A O I U I I I A E A U I E A O A O O E E E E U A E I U I I A U O O U O U U E U A E U A A E I A E U I A I U E I A E,"OO,OA,AE,EA,AO,OA,AA,AU,UE,EO,OE,EU,UO,OA,AE,EI,IE,EO,OA,AI,IU,UI,II,IA,AE,EI,IU,UA,AA,AU,UI,IA,AO,OI,IU,UI,II,II,IA,AE,EA,AU,UI,IE,EA,AO,OA,AO,OO,OE,EE,EE,EE,EU,UA,AE,EI,IU,UI,II,IA,AU,UO,OO,OU,UO,OU,UU,UE,EU,UA,AE,EU,UA,AA,AE,EI,IA,AE,EU,UI,IA,AI,IU,UE,EI,IA,AE",89,67~90
E O O E I U O A O I A O I I U O I E I A O E E I A O A O U I I E I I I I O A A A U I O U U U E I O E U U E A U A O U O E U U O I I U E I U E U,"EO,OO,OE,EI,IU,UO,OA,AO,OI,IA,AO,OI,II,IU,UO,OI,IE,EI,IA,AO,OE,EE,EI,IA,AO,OA,AO,OU,UI,II,IE,EI,II,II,II,IO,OA,AA,AA,AU,UI,IO,OU,UU,UU,UE,EI,IO,OE,EU,UU,UE,EA,AU,UA,AO,OU,UO,OE,EU,UU,UO,OI,II,IU,UE,EI,IU,UE,EU",71,67~90
U I E O A E U A E I I U U E A A O O U U O I E O U A E I O I I I O A I U I U A U O I A O A A E O E I U I U U O U O A E I A I U O A U O E I A I I U O E U O E I E I O E U A E I O O,"UI,IE,EO,OA,AE,EU,UA,AE,EI,II,IU,UU,UE,EA,AA,AO,OO,OU,UU,UO,OI,IE,EO,OU,UA,AE,EI,IO,OI,II,II,IO,OA,AI,IU,UI,IU,UA,AU,UO,OI,IA,AO,OA,AA,AE,EO,OE,EI,IU,UI,IU,UU,UO,OU,UO,OA,AE,EI,IA,AI,IU,UO,OA,AU,UO,OE,EI,IA,AI,II,IU,UO,OE,EU,UO,OE,EI,IE,EI,IO,OE,EU,UA,AE,EI,IO,OO",89,67~90
